Keiichi Sigsawa,1,1,0,0,0,121,2,0,0,1
Kino,1,0,0,0,0,110,1,0,0,1
Kino,1,0,0,0,0,110,1,0,0,1
Kino,1,0,0,0,0,110,1,0,0,1
Hermes,1,0,1,0,0,110,1,0,0,0
in the,0,1,0,0,0,121,2,0,2,0
Gol D. Roger,1,1,0,0,0,121,3,1,0,1
Roger,1,0,0,0,0,121,1,0,0,1
Monkey D. Luffy,1,1,0,0,0,121,3,1,0,1
Luffy,1,1,0,0,0,121,1,0,0,1
Luffy,1,1,0,0,0,121,1,0,0,1
Pirate King,1,1,0,1,1,121,2,0,0,0
Grand Line,1,1,0,0,1,121,2,0,0,0
World Government,1,0,0,0,1,121,2,0,0,0
Grand Age,1,0,0,0,1,121,2,0,0,0
Pirate King,1,1,0,1,1,121,2,0,0,0
Grand Line,1,1,0,0,1,121,2,0,0,0
MAL,0,1,0,0,0,121,1,1,0,0
battling strong,0,1,0,0,0,121,2,0,2,0
Night Raid,1,0,0,0,1,121,2,0,0,1
Revolutionary Army,1,1,0,0,1,121,2,0,0,1
Prime Minister Honest,1,1,0,0,0,121,3,0,0,1
Night Raid,1,0,0,0,1,121,2,0,0,1
Tatsumi,1,0,0,0,0,121,1,0,0,1
Night Raid,1,0,0,0,1,121,2,0,0,1
Akame,1,1,0,0,0,121,1,0,0,1
Tatsumi,1,0,0,0,0,121,1,0,0,1
MAL,0,1,0,0,0,121,1,1,0,0
assassin with,0,1,0,0,0,121,2,0,2,0
Bebop,1,0,0,0,0,110,1,0,0,1
Mellow,1,1,0,0,0,118,1,0,0,1
Spike Spiegel,1,0,0,0,0,121,2,0,0,1
Jet Black,1,0,0,0,0,121,2,0,0,1
Welsh Corgi,1,1,0,0,0,121,2,0,0,1
Faye Valentine,1,1,0,0,0,121,2,0,0,1
Edward Wong,1,1,0,0,0,121,2,0,0,1
Bebop,1,0,0,0,0,110,1,0,0,1
Earth,1,1,0,0,0,110,1,0,0,0
Inter Solar System Police,1,0,1,0,1,121,4,0,0,0
outlaw,0,0,0,0,0,110,1,0,1,0
MAL,0,1,0,0,0,121,1,1,0,0
to as,0,1,0,0,0,121,2,0,2,0
Chihiro Ogino,1,0,0,0,0,121,2,0,0,1
Chihiro,1,0,0,0,0,121,1,0,0,1
Haku,1,0,0,0,0,121,1,0,0,1
Sen,1,1,0,0,0,110,1,0,0,1
Chihiro,1,0,0,0,0,121,1,0,0,1
Kamikakushi,1,0,0,0,0,121,1,0,0,1
Chihiro,1,0,0,0,0,121,1,0,0,1
MAL,0,1,0,0,0,121,1,1,0,0
to this,0,1,0,0,0,121,2,0,2,0
Gon Freecss,1,0,0,0,0,121,2,0,0,1
Gon,1,1,0,0,0,121,1,0,0,1
Gon,1,1,0,0,0,121,1,0,0,1
Leorio,1,1,0,0,0,121,1,0,0,1
Kurapika,1,1,0,0,0,121,1,0,0,1
Killua,1,1,0,0,0,121,1,0,0,1
Hunter,1,1,0,0,1,110,1,0,0,1
Gon,1,1,0,0,0,121,1,0,0,1
